value,unit,type,sourceName,startDate,endDate,device
23,count,HKQuantityTypeIdentifierStepCount,iPhone van Marjolein,2026-03-06 08:29:41 +0100,2026-03-06 08:29:56 +0100,"<<HKDevice: 0x98d297d80>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,6, software:26.2, creation date:2026-01-16 00:58:56 +0000>"
100,count,HKQuantityTypeIdentifierStepCount,iPhone van Marjolein,2026-03-06 08:55:00 +0100,2026-03-06 09:04:56 +0100,"<<HKDevice: 0x98d297d80>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,6, software:26.2, creation date:2026-01-16 00:58:56 +0000>"
19,count,HKQuantityTypeIdentifierStepCount,iPhone van Marjolein,2026-03-06 09:08:28 +0100,2026-03-06 09:08:38 +0100,"<<HKDevice: 0x98d297d80>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,6, software:26.2, creation date:2026-01-16 00:58:56 +0000>"
360,count,HKQuantityTypeIdentifierStepCount,iPhone van Marjolein,2026-03-06 09:25:41 +0100,2026-03-06 09:35:24 +0100,"<<HKDevice: 0x98d297d80>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,6, software:26.2, creation date:2026-01-16 00:58:56 +0000>"
76,count,HKQuantityTypeIdentifierStepCount,iPhone van Marjolein,2026-03-06 09:35:39 +0100,2026-03-06 09:38:26 +0100,"<<HKDevice: 0x98d297d80>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,6, software:26.2, creation date:2026-01-16 00:58:56 +0000>"
176,count,HKQuantityTypeIdentifierStepCount,iPhone van Marjolein,2026-03-06 09:46:29 +0100,2026-03-06 09:48:14 +0100,"<<HKDevice: 0x98d297d80>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,6, software:26.2, creation date:2026-01-16 00:58:56 +0000>"
18,count,HKQuantityTypeIdentifierStepCount,iPhone van Marjolein,2026-03-06 10:00:44 +0100,2026-03-06 10:00:51 +0100,"<<HKDevice: 0x98d297d80>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,6, software:26.2, creation date:2026-01-16 00:58:56 +0000>"
8,count,HKQuantityTypeIdentifierStepCount,iPhone van Marjolein,2026-03-06 10:20:33 +0100,2026-03-06 10:20:36 +0100,"<<HKDevice: 0x98d297d80>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,6, software:26.2, creation date:2026-01-16 00:58:56 +0000>"
719,count,HKQuantityTypeIdentifierStepCount,iPhone van Marjolein,2026-03-06 10:38:10 +0100,2026-03-06 10:47:17 +0100,"<<HKDevice: 0x98d297d80>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,6, software:26.2, creation date:2026-01-16 00:58:56 +0000>"
64,count,HKQuantityTypeIdentifierStepCount,iPhone van Marjolein,2026-03-06 10:48:47 +0100,2026-03-06 10:49:48 +0100,"<<HKDevice: 0x98d297d80>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,6, software:26.2, creation date:2026-01-16 00:58:56 +0000>"
