value,unit,type,sourceName,startDate,endDate,device
0.39331,km,HKQuantityTypeIdentifierDistanceWalkingRunning,iPhone van Yasmin,2026-02-26 09:45:18 +0100,2026-02-26 09:55:18 +0100,"<<HKDevice: 0x643d64dc0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
0.38025,km,HKQuantityTypeIdentifierDistanceWalkingRunning,iPhone van Yasmin,2026-02-26 09:55:18 +0100,2026-02-26 10:03:21 +0100,"<<HKDevice: 0x643d64dc0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
0.01203,km,HKQuantityTypeIdentifierDistanceWalkingRunning,iPhone van Yasmin,2026-02-26 10:05:21 +0100,2026-02-26 10:05:34 +0100,"<<HKDevice: 0x643d64dc0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
0.15439,km,HKQuantityTypeIdentifierDistanceWalkingRunning,iPhone van Yasmin,2026-02-26 10:30:57 +0100,2026-02-26 10:33:56 +0100,"<<HKDevice: 0x643d64dc0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
0.34775,km,HKQuantityTypeIdentifierDistanceWalkingRunning,iPhone van Yasmin,2026-02-26 10:43:00 +0100,2026-02-26 10:47:49 +0100,"<<HKDevice: 0x643d64dc0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
0.01838,km,HKQuantityTypeIdentifierDistanceWalkingRunning,iPhone van Yasmin,2026-02-26 10:55:01 +0100,2026-02-26 10:55:22 +0100,"<<HKDevice: 0x643d64dc0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
0.39439,km,HKQuantityTypeIdentifierDistanceWalkingRunning,iPhone van Yasmin,2026-02-26 12:58:06 +0100,2026-02-26 13:02:55 +0100,"<<HKDevice: 0x643d64dc0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
0.04591,km,HKQuantityTypeIdentifierDistanceWalkingRunning,iPhone van Yasmin,2026-02-26 13:44:56 +0100,2026-02-26 13:45:49 +0100,"<<HKDevice: 0x643d64dc0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
0.0984,km,HKQuantityTypeIdentifierDistanceWalkingRunning,iPhone van Yasmin,2026-02-26 13:45:49 +0100,2026-02-26 13:47:19 +0100,"<<HKDevice: 0x643d64dc0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
0.10895,km,HKQuantityTypeIdentifierDistanceWalkingRunning,iPhone van Yasmin,2026-02-26 13:47:19 +0100,2026-02-26 13:48:51 +0100,"<<HKDevice: 0x643d64dc0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
0.165542,km,HKQuantityTypeIdentifierDistanceWalkingRunning,iPhone van Yasmin,2026-02-26 13:56:21 +0100,2026-02-26 14:06:09 +0100,"<<HKDevice: 0x643d64dc0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
