value,unit,type,sourceName,startDate,endDate,device
1,count,HKQuantityTypeIdentifierFlightsClimbed,iPhone van Yasmin,2026-02-26 10:02:15 +0100,2026-02-26 10:02:17 +0100,"<<HKDevice: 0x643d67e30>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
1,count,HKQuantityTypeIdentifierFlightsClimbed,iPhone van Yasmin,2026-02-26 13:45:44 +0100,2026-02-26 13:45:47 +0100,"<<HKDevice: 0x643d67e30>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
6,count,HKQuantityTypeIdentifierFlightsClimbed,iPhone van Yasmin,2026-02-26 13:56:44 +0100,2026-02-26 14:06:43 +0100,"<<HKDevice: 0x643d67e30>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
3,count,HKQuantityTypeIdentifierFlightsClimbed,iPhone van Yasmin,2026-02-26 14:07:57 +0100,2026-02-26 14:15:50 +0100,"<<HKDevice: 0x643d67e30>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
2,count,HKQuantityTypeIdentifierFlightsClimbed,iPhone van Yasmin,2026-02-26 14:22:54 +0100,2026-02-26 14:30:52 +0100,"<<HKDevice: 0x643d67e30>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
2,count,HKQuantityTypeIdentifierFlightsClimbed,iPhone van Yasmin,2026-02-26 14:32:46 +0100,2026-02-26 14:40:59 +0100,"<<HKDevice: 0x643d67e30>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
2,count,HKQuantityTypeIdentifierFlightsClimbed,iPhone van Yasmin,2026-02-26 14:42:54 +0100,2026-02-26 14:49:35 +0100,"<<HKDevice: 0x643d67e30>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
2,count,HKQuantityTypeIdentifierFlightsClimbed,iPhone van Yasmin,2026-02-26 14:53:43 +0100,2026-02-26 15:02:45 +0100,"<<HKDevice: 0x643d67e30>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
4,count,HKQuantityTypeIdentifierFlightsClimbed,iPhone van Yasmin,2026-02-26 15:04:50 +0100,2026-02-26 15:13:32 +0100,"<<HKDevice: 0x643d67e30>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
1,count,HKQuantityTypeIdentifierFlightsClimbed,iPhone van Yasmin,2026-02-26 15:16:23 +0100,2026-02-26 15:17:32 +0100,"<<HKDevice: 0x643d67e30>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
1,count,HKQuantityTypeIdentifierFlightsClimbed,iPhone van Yasmin,2026-02-26 15:21:27 +0100,2026-02-26 15:21:30 +0100,"<<HKDevice: 0x643d67e30>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
1,count,HKQuantityTypeIdentifierFlightsClimbed,iPhone van Yasmin,2026-02-26 15:21:40 +0100,2026-02-26 15:21:42 +0100,"<<HKDevice: 0x643d67e30>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
1,count,HKQuantityTypeIdentifierFlightsClimbed,iPhone van Yasmin,2026-02-26 15:21:53 +0100,2026-02-26 15:22:21 +0100,"<<HKDevice: 0x643d67e30>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
1,count,HKQuantityTypeIdentifierFlightsClimbed,iPhone van Yasmin,2026-02-26 15:25:35 +0100,2026-02-26 15:25:37 +0100,"<<HKDevice: 0x643d67e30>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
1,count,HKQuantityTypeIdentifierFlightsClimbed,iPhone van Yasmin,2026-02-26 15:25:53 +0100,2026-02-26 15:25:55 +0100,"<<HKDevice: 0x643d67e30>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
1,count,HKQuantityTypeIdentifierFlightsClimbed,iPhone van Yasmin,2026-02-26 15:31:30 +0100,2026-02-26 15:31:33 +0100,"<<HKDevice: 0x643d67e30>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
1,count,HKQuantityTypeIdentifierFlightsClimbed,iPhone van Yasmin,2026-02-26 15:31:43 +0100,2026-02-26 15:33:12 +0100,"<<HKDevice: 0x643d67e30>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
1,count,HKQuantityTypeIdentifierFlightsClimbed,iPhone van Yasmin,2026-02-26 15:35:33 +0100,2026-02-26 15:35:35 +0100,"<<HKDevice: 0x643d67e30>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
1,count,HKQuantityTypeIdentifierFlightsClimbed,iPhone van Yasmin,2026-02-26 15:35:46 +0100,2026-02-26 15:35:51 +0100,"<<HKDevice: 0x643d67e30>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
