value,unit,type,sourceName,startDate,endDate,device
745,count,HKQuantityTypeIdentifierStepCount,iPhone van Yasmin,2026-02-26 09:45:18 +0100,2026-02-26 09:55:18 +0100,"<<HKDevice: 0x643d66b70>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
615,count,HKQuantityTypeIdentifierStepCount,iPhone van Yasmin,2026-02-26 09:55:18 +0100,2026-02-26 10:03:21 +0100,"<<HKDevice: 0x643d66b70>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
23,count,HKQuantityTypeIdentifierStepCount,iPhone van Yasmin,2026-02-26 10:05:21 +0100,2026-02-26 10:05:34 +0100,"<<HKDevice: 0x643d66b70>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
214,count,HKQuantityTypeIdentifierStepCount,iPhone van Yasmin,2026-02-26 10:30:57 +0100,2026-02-26 10:33:56 +0100,"<<HKDevice: 0x643d66b70>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
586,count,HKQuantityTypeIdentifierStepCount,iPhone van Yasmin,2026-02-26 10:43:00 +0100,2026-02-26 10:47:49 +0100,"<<HKDevice: 0x643d66b70>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
27,count,HKQuantityTypeIdentifierStepCount,iPhone van Yasmin,2026-02-26 10:55:01 +0100,2026-02-26 10:55:22 +0100,"<<HKDevice: 0x643d66b70>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
523,count,HKQuantityTypeIdentifierStepCount,iPhone van Yasmin,2026-02-26 12:58:06 +0100,2026-02-26 13:02:55 +0100,"<<HKDevice: 0x643d66b70>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
94,count,HKQuantityTypeIdentifierStepCount,iPhone van Yasmin,2026-02-26 13:44:56 +0100,2026-02-26 13:45:49 +0100,"<<HKDevice: 0x643d66b70>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
169,count,HKQuantityTypeIdentifierStepCount,iPhone van Yasmin,2026-02-26 13:45:49 +0100,2026-02-26 13:47:19 +0100,"<<HKDevice: 0x643d66b70>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
11,count,HKQuantityTypeIdentifierStepCount,iPhone van Yasmin,2026-02-26 13:47:19 +0100,2026-02-26 13:47:24 +0100,"<<HKDevice: 0x643d66b70>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
