value,unit,type,sourceName,startDate,endDate,device
5.04,km/hr,HKQuantityTypeIdentifierWalkingSpeed,iPhone van Yasmin,2026-02-26 09:45:24 +0100,2026-02-26 09:45:31 +0100,"<<HKDevice: 0x643d64460>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
2.232,km/hr,HKQuantityTypeIdentifierWalkingSpeed,iPhone van Yasmin,2026-02-26 09:47:25 +0100,2026-02-26 09:47:40 +0100,"<<HKDevice: 0x643d64460>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
2.34,km/hr,HKQuantityTypeIdentifierWalkingSpeed,iPhone van Yasmin,2026-02-26 09:47:52 +0100,2026-02-26 09:48:07 +0100,"<<HKDevice: 0x643d64460>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
5.508,km/hr,HKQuantityTypeIdentifierWalkingSpeed,iPhone van Yasmin,2026-02-26 09:58:59 +0100,2026-02-26 10:03:16 +0100,"<<HKDevice: 0x643d64460>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
2.268,km/hr,HKQuantityTypeIdentifierWalkingSpeed,iPhone van Yasmin,2026-02-26 10:05:29 +0100,2026-02-26 10:05:31 +0100,"<<HKDevice: 0x643d64460>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
5.256,km/hr,HKQuantityTypeIdentifierWalkingSpeed,iPhone van Yasmin,2026-02-26 10:31:06 +0100,2026-02-26 10:32:17 +0100,"<<HKDevice: 0x643d64460>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
3.888,km/hr,HKQuantityTypeIdentifierWalkingSpeed,iPhone van Yasmin,2026-02-26 10:32:35 +0100,2026-02-26 10:32:43 +0100,"<<HKDevice: 0x643d64460>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
6.336,km/hr,HKQuantityTypeIdentifierWalkingSpeed,iPhone van Yasmin,2026-02-26 10:46:33 +0100,2026-02-26 10:46:36 +0100,"<<HKDevice: 0x643d64460>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
3.78,km/hr,HKQuantityTypeIdentifierWalkingSpeed,iPhone van Yasmin,2026-02-26 12:58:17 +0100,2026-02-26 12:58:21 +0100,"<<HKDevice: 0x643d64460>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
5.004,km/hr,HKQuantityTypeIdentifierWalkingSpeed,iPhone van Yasmin,2026-02-26 12:58:40 +0100,2026-02-26 13:02:51 +0100,"<<HKDevice: 0x643d64460>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
4.464,km/hr,HKQuantityTypeIdentifierWalkingSpeed,iPhone van Yasmin,2026-02-26 13:45:02 +0100,2026-02-26 13:45:34 +0100,"<<HKDevice: 0x643d64460>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
4.896,km/hr,HKQuantityTypeIdentifierWalkingSpeed,iPhone van Yasmin,2026-02-26 14:07:40 +0100,2026-02-26 14:07:42 +0100,"<<HKDevice: 0x643d64460>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
5.076,km/hr,HKQuantityTypeIdentifierWalkingSpeed,iPhone van Yasmin,2026-02-26 14:08:23 +0100,2026-02-26 14:08:26 +0100,"<<HKDevice: 0x643d64460>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
5.184,km/hr,HKQuantityTypeIdentifierWalkingSpeed,iPhone van Yasmin,2026-02-26 14:12:05 +0100,2026-02-26 14:12:07 +0100,"<<HKDevice: 0x643d64460>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
6.012,km/hr,HKQuantityTypeIdentifierWalkingSpeed,iPhone van Yasmin,2026-02-26 14:12:49 +0100,2026-02-26 14:12:51 +0100,"<<HKDevice: 0x643d64460>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
4.176,km/hr,HKQuantityTypeIdentifierWalkingSpeed,iPhone van Yasmin,2026-02-26 14:22:38 +0100,2026-02-26 14:22:40 +0100,"<<HKDevice: 0x643d64460>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
4.104,km/hr,HKQuantityTypeIdentifierWalkingSpeed,iPhone van Yasmin,2026-02-26 14:40:42 +0100,2026-02-26 14:40:46 +0100,"<<HKDevice: 0x643d64460>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
3.96,km/hr,HKQuantityTypeIdentifierWalkingSpeed,iPhone van Yasmin,2026-02-26 14:42:37 +0100,2026-02-26 14:42:39 +0100,"<<HKDevice: 0x643d64460>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
