value,unit,type,sourceName,startDate,endDate,device
5.976,km/hr,HKQuantityTypeIdentifierWalkingSpeed,iPhone van Marjolein,2026-02-26 09:04:33 +0100,2026-02-26 09:04:41 +0100,"<<HKDevice: 0x8bbd77d20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,6, software:26.2, creation date:2026-01-16 00:58:56 +0000>"
4.788,km/hr,HKQuantityTypeIdentifierWalkingSpeed,iPhone van Marjolein,2026-02-26 09:05:03 +0100,2026-02-26 09:05:34 +0100,"<<HKDevice: 0x8bbd77d20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,6, software:26.2, creation date:2026-01-16 00:58:56 +0000>"
4.788,km/hr,HKQuantityTypeIdentifierWalkingSpeed,iPhone van Marjolein,2026-02-26 09:05:44 +0100,2026-02-26 09:06:05 +0100,"<<HKDevice: 0x8bbd77d20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,6, software:26.2, creation date:2026-01-16 00:58:56 +0000>"
4.5,km/hr,HKQuantityTypeIdentifierWalkingSpeed,iPhone van Marjolein,2026-02-26 09:07:23 +0100,2026-02-26 09:08:08 +0100,"<<HKDevice: 0x8bbd77d20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,6, software:26.2, creation date:2026-01-16 00:58:56 +0000>"
4.788,km/hr,HKQuantityTypeIdentifierWalkingSpeed,iPhone van Marjolein,2026-02-26 09:09:54 +0100,2026-02-26 09:10:03 +0100,"<<HKDevice: 0x8bbd77d20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,6, software:26.2, creation date:2026-01-16 00:58:56 +0000>"
2.196,km/hr,HKQuantityTypeIdentifierWalkingSpeed,iPhone van Marjolein,2026-02-26 09:16:54 +0100,2026-02-26 09:16:56 +0100,"<<HKDevice: 0x8bbd77d20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,6, software:26.2, creation date:2026-01-16 00:58:56 +0000>"
2.7,km/hr,HKQuantityTypeIdentifierWalkingSpeed,iPhone van Marjolein,2026-02-26 09:18:59 +0100,2026-02-26 09:19:02 +0100,"<<HKDevice: 0x8bbd77d20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,6, software:26.2, creation date:2026-01-16 00:58:56 +0000>"
2.628,km/hr,HKQuantityTypeIdentifierWalkingSpeed,iPhone van Marjolein,2026-02-26 09:24:21 +0100,2026-02-26 09:24:27 +0100,"<<HKDevice: 0x8bbd77d20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,6, software:26.2, creation date:2026-01-16 00:58:56 +0000>"
3.816,km/hr,HKQuantityTypeIdentifierWalkingSpeed,iPhone van Marjolein,2026-02-26 09:26:38 +0100,2026-02-26 09:26:46 +0100,"<<HKDevice: 0x8bbd77d20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,6, software:26.2, creation date:2026-01-16 00:58:56 +0000>"
5.508,km/hr,HKQuantityTypeIdentifierWalkingSpeed,iPhone van Marjolein,2026-02-26 09:41:28 +0100,2026-02-26 09:42:20 +0100,"<<HKDevice: 0x8bbd77d20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,6, software:26.2, creation date:2026-01-16 00:58:56 +0000>"
