value,unit,type,sourceName,startDate,endDate,device
0.46921,km,HKQuantityTypeIdentifierDistanceWalkingRunning,iPhone van Yasmin,2026-02-27 09:44:37 +0100,2026-02-27 09:54:37 +0100,"<<HKDevice: 0xb6853e530>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
0.47382,km,HKQuantityTypeIdentifierDistanceWalkingRunning,iPhone van Yasmin,2026-02-27 09:54:37 +0100,2026-02-27 10:04:38 +0100,"<<HKDevice: 0xb6853e530>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
0.10567,km,HKQuantityTypeIdentifierDistanceWalkingRunning,iPhone van Yasmin,2026-02-27 10:04:38 +0100,2026-02-27 10:05:55 +0100,"<<HKDevice: 0xb6853e530>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
0.20651,km,HKQuantityTypeIdentifierDistanceWalkingRunning,iPhone van Yasmin,2026-02-27 10:24:24 +0100,2026-02-27 10:31:00 +0100,"<<HKDevice: 0xb6853e530>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
0.37021,km,HKQuantityTypeIdentifierDistanceWalkingRunning,iPhone van Yasmin,2026-02-27 10:43:49 +0100,2026-02-27 10:50:43 +0100,"<<HKDevice: 0xb6853e530>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
0.11552,km,HKQuantityTypeIdentifierDistanceWalkingRunning,iPhone van Yasmin,2026-02-27 12:57:02 +0100,2026-02-27 13:02:32 +0100,"<<HKDevice: 0xb6853e530>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
0.1107,km,HKQuantityTypeIdentifierDistanceWalkingRunning,iPhone van Yasmin,2026-02-27 13:22:54 +0100,2026-02-27 13:28:57 +0100,"<<HKDevice: 0xb6853e530>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
0.0575027,km,HKQuantityTypeIdentifierDistanceWalkingRunning,iPhone van Yasmin,2026-02-27 13:37:15 +0100,2026-02-27 13:43:31 +0100,"<<HKDevice: 0xb6853e530>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
0.07416,km,HKQuantityTypeIdentifierDistanceWalkingRunning,iPhone van Yasmin,2026-02-27 13:47:34 +0100,2026-02-27 13:57:16 +0100,"<<HKDevice: 0xb6853e530>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
0.0933036,km,HKQuantityTypeIdentifierDistanceWalkingRunning,iPhone van Yasmin,2026-02-27 13:58:23 +0100,2026-02-27 14:07:37 +0100,"<<HKDevice: 0xb6853e530>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
