value,unit,type,sourceName,startDate,endDate,device
3,count,HKQuantityTypeIdentifierFlightsClimbed,iPhone van Yasmin,2026-02-27 10:01:26 +0100,2026-02-27 10:02:00 +0100,"<<HKDevice: 0xb6853c550>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
1,count,HKQuantityTypeIdentifierFlightsClimbed,iPhone van Yasmin,2026-02-27 13:27:35 +0100,2026-02-27 13:27:37 +0100,"<<HKDevice: 0xb6853c550>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
1,count,HKQuantityTypeIdentifierFlightsClimbed,iPhone van Yasmin,2026-02-27 13:38:57 +0100,2026-02-27 13:39:33 +0100,"<<HKDevice: 0xb6853c550>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
1,count,HKQuantityTypeIdentifierFlightsClimbed,iPhone van Yasmin,2026-02-27 13:47:57 +0100,2026-02-27 13:48:22 +0100,"<<HKDevice: 0xb6853c550>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
1,count,HKQuantityTypeIdentifierFlightsClimbed,iPhone van Yasmin,2026-02-27 13:57:29 +0100,2026-02-27 13:58:23 +0100,"<<HKDevice: 0xb6853c550>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
1,count,HKQuantityTypeIdentifierFlightsClimbed,iPhone van Yasmin,2026-02-27 14:01:34 +0100,2026-02-27 14:01:37 +0100,"<<HKDevice: 0xb6853c550>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
1,count,HKQuantityTypeIdentifierFlightsClimbed,iPhone van Yasmin,2026-02-27 14:03:57 +0100,2026-02-27 14:04:00 +0100,"<<HKDevice: 0xb6853c550>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
1,count,HKQuantityTypeIdentifierFlightsClimbed,iPhone van Yasmin,2026-02-27 14:06:21 +0100,2026-02-27 14:07:32 +0100,"<<HKDevice: 0xb6853c550>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
1,count,HKQuantityTypeIdentifierFlightsClimbed,iPhone van Yasmin,2026-02-27 14:09:37 +0100,2026-02-27 14:09:42 +0100,"<<HKDevice: 0xb6853c550>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
1,count,HKQuantityTypeIdentifierFlightsClimbed,iPhone van Yasmin,2026-02-27 14:11:43 +0100,2026-02-27 14:11:45 +0100,"<<HKDevice: 0xb6853c550>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
