value,unit,type,sourceName,startDate,endDate,device
5.436,km/hr,HKQuantityTypeIdentifierWalkingSpeed,iPhone van Yasmin,2026-02-27 10:00:54 +0100,2026-02-27 10:03:38 +0100,"<<HKDevice: 0xb6853ec60>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
4.896,km/hr,HKQuantityTypeIdentifierWalkingSpeed,iPhone van Yasmin,2026-02-27 10:25:40 +0100,2026-02-27 10:26:59 +0100,"<<HKDevice: 0xb6853ec60>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
4.176,km/hr,HKQuantityTypeIdentifierWalkingSpeed,iPhone van Yasmin,2026-02-27 10:30:51 +0100,2026-02-27 10:30:58 +0100,"<<HKDevice: 0xb6853ec60>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
5.436,km/hr,HKQuantityTypeIdentifierWalkingSpeed,iPhone van Yasmin,2026-02-27 10:46:47 +0100,2026-02-27 10:48:46 +0100,"<<HKDevice: 0xb6853ec60>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
4.32,km/hr,HKQuantityTypeIdentifierWalkingSpeed,iPhone van Yasmin,2026-02-27 10:49:02 +0100,2026-02-27 10:49:05 +0100,"<<HKDevice: 0xb6853ec60>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
3.528,km/hr,HKQuantityTypeIdentifierWalkingSpeed,iPhone van Yasmin,2026-02-27 10:50:36 +0100,2026-02-27 10:50:40 +0100,"<<HKDevice: 0xb6853ec60>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
4.968,km/hr,HKQuantityTypeIdentifierWalkingSpeed,iPhone van Yasmin,2026-02-27 12:57:17 +0100,2026-02-27 12:57:43 +0100,"<<HKDevice: 0xb6853ec60>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
2.484,km/hr,HKQuantityTypeIdentifierWalkingSpeed,iPhone van Yasmin,2026-02-27 13:02:20 +0100,2026-02-27 13:02:25 +0100,"<<HKDevice: 0xb6853ec60>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
4.5,km/hr,HKQuantityTypeIdentifierWalkingSpeed,iPhone van Yasmin,2026-02-27 13:27:49 +0100,2026-02-27 13:28:54 +0100,"<<HKDevice: 0xb6853ec60>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
6.336,km/hr,HKQuantityTypeIdentifierWalkingSpeed,iPhone van Yasmin,2026-02-27 13:48:29 +0100,2026-02-27 13:48:31 +0100,"<<HKDevice: 0xb6853ec60>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
5.58,km/hr,HKQuantityTypeIdentifierWalkingSpeed,iPhone van Yasmin,2026-02-27 13:58:29 +0100,2026-02-27 13:58:31 +0100,"<<HKDevice: 0xb6853ec60>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
4.896,km/hr,HKQuantityTypeIdentifierWalkingSpeed,iPhone van Yasmin,2026-02-27 14:04:40 +0100,2026-02-27 14:04:42 +0100,"<<HKDevice: 0xb6853ec60>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
4.356,km/hr,HKQuantityTypeIdentifierWalkingSpeed,iPhone van Yasmin,2026-02-27 14:09:20 +0100,2026-02-27 14:09:23 +0100,"<<HKDevice: 0xb6853ec60>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
6.084,km/hr,HKQuantityTypeIdentifierWalkingSpeed,iPhone van Yasmin,2026-02-27 14:10:08 +0100,2026-02-27 14:10:10 +0100,"<<HKDevice: 0xb6853ec60>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
4.608,km/hr,HKQuantityTypeIdentifierWalkingSpeed,iPhone van Yasmin,2026-02-27 14:31:50 +0100,2026-02-27 14:31:53 +0100,"<<HKDevice: 0xb6853ec60>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
6.588,km/hr,HKQuantityTypeIdentifierWalkingSpeed,iPhone van Yasmin,2026-02-27 14:38:24 +0100,2026-02-27 14:38:26 +0100,"<<HKDevice: 0xb6853ec60>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
5.184,km/hr,HKQuantityTypeIdentifierWalkingSpeed,iPhone van Yasmin,2026-02-27 15:06:37 +0100,2026-02-27 15:06:41 +0100,"<<HKDevice: 0xb6853ec60>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
6.48,km/hr,HKQuantityTypeIdentifierWalkingSpeed,iPhone van Yasmin,2026-02-27 15:08:47 +0100,2026-02-27 15:08:50 +0100,"<<HKDevice: 0xb6853ec60>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
4.824,km/hr,HKQuantityTypeIdentifierWalkingSpeed,iPhone van Yasmin,2026-02-27 15:11:27 +0100,2026-02-27 15:11:37 +0100,"<<HKDevice: 0xb6853ec60>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
5.292,km/hr,HKQuantityTypeIdentifierWalkingSpeed,iPhone van Yasmin,2026-02-27 15:24:19 +0100,2026-02-27 15:24:21 +0100,"<<HKDevice: 0xb6853ec60>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
5.508,km/hr,HKQuantityTypeIdentifierWalkingSpeed,iPhone van Yasmin,2026-02-27 15:24:54 +0100,2026-02-27 15:24:58 +0100,"<<HKDevice: 0xb6853ec60>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,4, software:18.6.2, creation date:2025-08-28 02:25:08 +0000>"
