value,unit,type,sourceName,startDate,endDate,device
0.07512,km,HKQuantityTypeIdentifierDistanceWalkingRunning,iPhone van Marjolein,2026-02-27 08:35:34 +0100,2026-02-27 08:44:18 +0100,"<<HKDevice: 0x75ccdfba0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,6, software:26.2, creation date:2026-01-16 00:58:56 +0000>"
0.02116,km,HKQuantityTypeIdentifierDistanceWalkingRunning,iPhone van Marjolein,2026-02-27 08:45:07 +0100,2026-02-27 08:53:56 +0100,"<<HKDevice: 0x75ccdfba0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,6, software:26.2, creation date:2026-01-16 00:58:56 +0000>"
0.15174,km,HKQuantityTypeIdentifierDistanceWalkingRunning,iPhone van Marjolein,2026-02-27 09:03:01 +0100,2026-02-27 09:11:32 +0100,"<<HKDevice: 0x75ccdfba0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,6, software:26.2, creation date:2026-01-16 00:58:56 +0000>"
0.2679,km,HKQuantityTypeIdentifierDistanceWalkingRunning,iPhone van Marjolein,2026-02-27 09:19:38 +0100,2026-02-27 09:23:36 +0100,"<<HKDevice: 0x75ccdfba0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,6, software:26.2, creation date:2026-01-16 00:58:56 +0000>"
0.1175,km,HKQuantityTypeIdentifierDistanceWalkingRunning,iPhone van Marjolein,2026-02-27 09:32:16 +0100,2026-02-27 09:34:18 +0100,"<<HKDevice: 0x75ccdfba0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,6, software:26.2, creation date:2026-01-16 00:58:56 +0000>"
0.08991,km,HKQuantityTypeIdentifierDistanceWalkingRunning,iPhone van Marjolein,2026-02-27 10:04:58 +0100,2026-02-27 10:09:34 +0100,"<<HKDevice: 0x75ccdfba0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,6, software:26.2, creation date:2026-01-16 00:58:56 +0000>"
0.79811,km,HKQuantityTypeIdentifierDistanceWalkingRunning,iPhone van Marjolein,2026-02-27 10:18:41 +0100,2026-02-27 10:28:43 +0100,"<<HKDevice: 0x75ccdfba0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,6, software:26.2, creation date:2026-01-16 00:58:56 +0000>"
0.03748,km,HKQuantityTypeIdentifierDistanceWalkingRunning,iPhone van Marjolein,2026-02-27 10:28:43 +0100,2026-02-27 10:29:16 +0100,"<<HKDevice: 0x75ccdfba0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,6, software:26.2, creation date:2026-01-16 00:58:56 +0000>"
0.09183,km,HKQuantityTypeIdentifierDistanceWalkingRunning,iPhone van Marjolein,2026-02-27 10:29:16 +0100,2026-02-27 10:30:38 +0100,"<<HKDevice: 0x75ccdfba0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,6, software:26.2, creation date:2026-01-16 00:58:56 +0000>"
0.01474,km,HKQuantityTypeIdentifierDistanceWalkingRunning,iPhone van Marjolein,2026-02-27 10:31:21 +0100,2026-02-27 10:31:44 +0100,"<<HKDevice: 0x75ccdfba0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,6, software:26.2, creation date:2026-01-16 00:58:56 +0000>"
0.07338,km,HKQuantityTypeIdentifierDistanceWalkingRunning,iPhone van Marjolein,2026-02-27 11:49:30 +0100,2026-02-27 11:54:35 +0100,"<<HKDevice: 0x75ccdfba0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,6, software:26.2, creation date:2026-01-16 00:58:56 +0000>"
