value,unit,type,sourceName,startDate,endDate,device
5.976,km/hr,HKQuantityTypeIdentifierWalkingSpeed,iPhone van Marjolein,2026-02-27 09:09:17 +0100,2026-02-27 09:09:44 +0100,"<<HKDevice: 0x75ccdda40>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,6, software:26.2, creation date:2026-01-16 00:58:56 +0000>"
5.832,km/hr,HKQuantityTypeIdentifierWalkingSpeed,iPhone van Marjolein,2026-02-27 09:09:55 +0100,2026-02-27 09:10:48 +0100,"<<HKDevice: 0x75ccdda40>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,6, software:26.2, creation date:2026-01-16 00:58:56 +0000>"
5.22,km/hr,HKQuantityTypeIdentifierWalkingSpeed,iPhone van Marjolein,2026-02-27 09:22:23 +0100,2026-02-27 09:22:49 +0100,"<<HKDevice: 0x75ccdda40>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,6, software:26.2, creation date:2026-01-16 00:58:56 +0000>"
4.032,km/hr,HKQuantityTypeIdentifierWalkingSpeed,iPhone van Marjolein,2026-02-27 09:23:17 +0100,2026-02-27 09:23:27 +0100,"<<HKDevice: 0x75ccde760>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,6, software:26.2, creation date:2026-01-16 00:58:56 +0000>"
5.076,km/hr,HKQuantityTypeIdentifierWalkingSpeed,iPhone van Marjolein,2026-02-27 09:33:07 +0100,2026-02-27 09:33:46 +0100,"<<HKDevice: 0x75ccde760>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,6, software:26.2, creation date:2026-01-16 00:58:56 +0000>"
4.392,km/hr,HKQuantityTypeIdentifierWalkingSpeed,iPhone van Marjolein,2026-02-27 10:18:46 +0100,2026-02-27 10:18:54 +0100,"<<HKDevice: 0x75ccde760>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,6, software:26.2, creation date:2026-01-16 00:58:56 +0000>"
5.796,km/hr,HKQuantityTypeIdentifierWalkingSpeed,iPhone van Marjolein,2026-02-27 10:19:07 +0100,2026-02-27 10:22:10 +0100,"<<HKDevice: 0x75ccde760>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,6, software:26.2, creation date:2026-01-16 00:58:56 +0000>"
5.508,km/hr,HKQuantityTypeIdentifierWalkingSpeed,iPhone van Marjolein,2026-02-27 10:22:35 +0100,2026-02-27 10:27:33 +0100,"<<HKDevice: 0x75ccde760>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,6, software:26.2, creation date:2026-01-16 00:58:56 +0000>"
5.328,km/hr,HKQuantityTypeIdentifierWalkingSpeed,iPhone van Marjolein,2026-02-27 10:27:34 +0100,2026-02-27 10:30:01 +0100,"<<HKDevice: 0x75ccde760>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,6, software:26.2, creation date:2026-01-16 00:58:56 +0000>"
3.708,km/hr,HKQuantityTypeIdentifierWalkingSpeed,iPhone van Marjolein,2026-02-27 11:49:35 +0100,2026-02-27 11:49:53 +0100,"<<HKDevice: 0x75ccde760>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,6, software:26.2, creation date:2026-01-16 00:58:56 +0000>"
3.456,km/hr,HKQuantityTypeIdentifierWalkingSpeed,iPhone van Marjolein,2026-02-27 11:50:25 +0100,2026-02-27 11:50:48 +0100,"<<HKDevice: 0x75ccde760>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,6, software:26.2, creation date:2026-01-16 00:58:56 +0000>"
3.06,km/hr,HKQuantityTypeIdentifierWalkingSpeed,iPhone van Marjolein,2026-02-27 13:02:19 +0100,2026-02-27 13:02:23 +0100,"<<HKDevice: 0x75ccde760>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,6, software:26.2, creation date:2026-01-16 00:58:56 +0000>"
4.536,km/hr,HKQuantityTypeIdentifierWalkingSpeed,iPhone van Marjolein,2026-02-27 13:27:14 +0100,2026-02-27 13:28:52 +0100,"<<HKDevice: 0x75ccde760>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,6, software:26.2, creation date:2026-01-16 00:58:56 +0000>"
