phone,person,id,condition,floors,date,start_time_ascend,end_time_ascend,step_count_ascend,start_time_descend,end_time_descend,step_count_descend,registered_steps_ascend,registered_steps_descend,registered_floors_ascend
iphone13m,Mara,1,running,1,27-02-2026,14:01:10,14:01:17,21,14:01:50,14:01:57,23,23,14,1
iphone13m,Mara,1,running,1,26-02-2026,14:26:20,14:26:29,22,14:27:45,14:27:52,24,4,10,0
iphone13m,Mara,1,running,1,26-02-2026,14:32:35,14:32:43,23,14:33:44,14:33:51,25,21,0,2
iphone13m,Mara,1,running,1,27-02-2026,14:06:10,14:06:17,21,14:07:30,14:07:36,23,21,10,1
iphone13m,Mara,1,running,1,27-02-2026,14:11:15,14:11:23,20,14:11:55,14:12:01,22,23,8,1
iphone13m,Mara,1,walking,1,27-02-2026,13:57:00,13:57:13,21,13:58:20,13:58:32,22,23,21,1
iphone13m,Mara,1,walking,1,26-02-2026,14:22:30,14:22:45,22,14:24:01,14:24:14,23,21,22,1
iphone13m,Mara,1,walking,1,26-02-2026,14:29:36,14:29:49,22,14:30:50,14:31:03,24,20,23,1
iphone13m,Mara,1,walking,1,27-02-2026,14:03:30,14:03:43,21,14:04:30,14:04:42,22,15,23,1
iphone13m,Mara,1,walking,1,27-02-2026,14:09:10,14:09:23,21,14:10:00,14:10:11,22,21,23,1
iphone13m,Mara,1,slow,1,06-03-2026,13:34:10,13:34:37,23,13:36:05,13:36:29,23,39,5,0
iphone13m,Mara,1,slow,1,06-03-2026,13:38:05,13:38:32,23,13:40:30,13:40:58,24,0,0,0
iphone13m,Mara,1,slow,1,06-03-2026,13:44:35,13:44:59,22,13:45:30,13:45:59,24,24,0,0
iphone13m,Mara,1,slow,1,06-03-2026,14:43:25,14:43:45,21,14:44:35,14:44:48,24,26,11,1
iphone13m,Mara,1,slow,1,06-03-2026,14:46:10,14:46:32,22,14:47:10,14:47:35,23,21,33,1
iphone13m,Mara,1,running,2,27-02-2026,14:50:40,14:50:55,46,14:51:40,14:51:55,47,35,21,2
iphone13m,Mara,1,running,2,27-02-2026,14:56:45,14:57:00,44,14:57:45,14:58:00,46,44,24,2
iphone13m,Mara,1,running,2,06-03-2026,11:59:20,11:59:35,43,12:00:55,12:01:09,46,23,12,2
iphone13m,Mara,1,running,2,06-03-2026,12:04:30,12:04:45,46,12:05:10,12:05:25,46,42,0,2
iphone13m,Mara,1,running,2,06-03-2026,12:09:25,12:09:41,47,12:10:15,12:10:29,45,43,9,2
iphone13m,Mara,1,walking,2,27-02-2026,14:46:30,14:46:58,45,14:48:15,14:48:41,46,45,45,2
iphone13m,Mara,1,walking,2,27-02-2026,14:53:45,14:54:11,45,14:54:45,14:55:09,47,45,48,2
iphone13m,Mara,1,walking,2,06-03-2026,12:02:10,12:02:40,45,12:03:07,12:03:36,47,52,45,2
iphone13m,Mara,1,walking,2,06-03-2026,12:07:15,12:07:45,45,12:08:06,12:08:31,46,46,47,2
iphone13m,Mara,1,walking,2,06-03-2026,12:11:35,12:12:01,43,12:12:25,12:12:47,45,45,33,2
iphone13m,Mara,1,slow,2,06-03-2026,13:21:35,13:22:28,45,13:23:40,13:24:30,49,47,9,2
iphone13m,Mara,1,slow,2,06-03-2026,13:26:40,13:27:33,50,13:28:20,13:29:04,48,65,43,2
iphone13m,Mara,1,slow,2,06-03-2026,13:30:45,13:31:35,49,13:32:20,13:33:13,51,49,40,2
iphone13m,Mara,1,slow,2,06-03-2026,14:35:30,14:36:15,46,14:38:07,14:38:52,51,51,53,2
iphone13m,Mara,1,slow,2,06-03-2026,14:40:15,14:41:01,46,14:41:50,14:42:34,52,45,46,2
iphone13m,Mara,2,running,1,26-02-2026,14:46:00,14:46:05,12,14:47:45,14:47:50,13,8,10,0
iphone13m,Mara,2,running,1,26-02-2026,14:51:30,14:51:35,13,14:52:20,14:52:25,14,8,10,0
iphone13m,Mara,2,running,1,26-02-2026,14:57:15,14:57:20,12,14:57:50,14:57:57,13,8,2,0
iphone13m,Mara,2,running,1,27-02-2026,14:17:05,14:17:09,12,14:18:30,14:18:35,14,16,0,0
iphone13m,Mara,2,running,1,27-02-2026,14:21:35,14:21:40,12,14:23:00,14:23:05,14,10,9,0
iphone13m,Mara,2,walking,1,26-02-2026,14:42:30,14:42:43,22,14:43:45,14:43:55,23,20,22,1
iphone13m,Mara,2,walking,1,26-02-2026,14:49:10,14:49:23,22,14:50:00,14:50:10,24,21,20,1
iphone13m,Mara,2,walking,1,26-02-2026,14:53:25,14:53:37,22,14:54:45,14:54:54,23,23,18,1
iphone13m,Mara,2,walking,1,27-02-2026,14:14:05,14:14:17,22,14:14:45,14:14:55,24,20,21,1
iphone13m,Mara,2,walking,1,27-02-2026,14:19:50,14:20:02,22,14:20:25,14:20:34,22,18,19,1
iphone13m,Napoleon,2,slow,1,06-03-2026,13:51:40,13:52:04,23,13:52:30,13:52:47,23,19,22,1
iphone13m,Napoleon,2,slow,1,06-03-2026,13:57:20,13:57:38,23,13:58:00,13:58:17,23,14,23,1
iphone13m,Napoleon,2,slow,1,06-03-2026,14:02:15,14:02:32,23,14:02:55,14:03:11,23,23,25,1
iphone13m,Napoleon,2,slow,1,06-03-2026,15:03:20,15:03:39,23,15:04:10,15:04:25,23,20,22,1
iphone13m,Napoleon,2,slow,1,06-03-2026,15:09:35,15:09:52,23,15:10:20,15:10:35,23,19,25,1
iphone13m,Napoleon,2,running,2,27-02-2026,15:03:15,15:03:26,25,15:04:05,15:04:16,26,26,22,2
iphone13m,Napoleon,2,running,2,27-02-2026,15:08:00,15:08:11,24,15:08:40,15:08:50,26,16,24,0
iphone13m,Napoleon,2,running,2,06-03-2026,11:47:00,11:47:10,24,11:47:45,11:47:56,27,28,20,2
iphone13m,Napoleon,2,running,2,06-03-2026,11:51:55,11:52:06,24,11:52:45,11:52:56,27,30,14,2
iphone13m,Napoleon,2,running,2,06-03-2026,11:56:45,11:56:55,24,11:57:25,11:57:36,27,19,20,2
iphone13m,Napoleon,2,walking,2,27-02-2026,15:00:35,15:01:01,44,15:02:00,15:02:19,46,42,38,2
iphone13m,Napoleon,2,walking,2,27-02-2026,15:05:30,15:05:54,44,15:06:25,15:06:42,44,43,35,2
iphone13m,Napoleon,2,walking,2,06-03-2026,11:44:00,11:44:25,44,11:45:25,11:45:46,47,45,33,2
iphone13m,Napoleon,2,walking,2,06-03-2026,11:49:10,11:49:35,44,11:50:30,11:50:48,48,50,39,2
iphone13m,Napoleon,2,walking,2,06-03-2026,11:54:10,11:54:34,44,11:55:26,11:55:42,44,44,28,2
iphone13m,Napoleon,2,slow,2,06-03-2026,13:54:00,13:54:46,49,13:55:15,13:55:50,47,48,47,2
