person,id,condition,floors,date,start_time_ascend,end_time_ascend,step_count_ascend,start_time_descend,end_time_descend,step_count_descend,registered_steps_ascend,registered_steps_descend,registered_floors_ascend,floor yasmin,,floor marjolein
Mara,1,running,1,27-02-2026,14:01:10,14:01:17,21,14:01:50,14:01:57,23,,,,1,,1
Mara,1,running,1,26-02-2026,14:26:20,14:26:29,22,14:27:45,14:27:52,24,4,10,0,,,
Mara,1,running,1,26-02-2026,14:32:35,14:32:43,23,14:33:44,14:33:51,25,21,,2,,,
Mara,1,running,1,27-02-2026,14:06:10,14:06:17,21,14:07:30,14:07:36,23,,,,1,,1
Mara,1,running,1,27-02-2026,14:11:15,14:11:23,20,14:11:55,14:12:01,22,,,,1,,1
Mara,1,walking,1,27-02-2026,13:57:00,13:57:13,21,13:58:20,13:58:32,22,,,,1,,1
Mara,1,walking,1,26-02-2026,14:22:30,14:22:45,22,14:24:01,14:24:14,23,21,22,1,,,
Mara,1,walking,1,26-02-2026,14:29:36,14:29:49,22,14:30:50,14:31:03,24,20,23,1,,,
Mara,1,walking,1,27-02-2026,14:03:30,14:03:43,21,14:04:30,14:04:42,22,,,,1,,1
Mara,1,walking,1,27-02-2026,14:09:10,14:09:23,21,14:10:00,14:10:11,22,,,,1,,1
Mara,1,slow,1,,,,,,,,,,,,,
Mara,1,slow,1,,,,,,,,,,,,,
Mara,1,slow,1,,,,,,,,,,,,,
Mara,1,slow,1,,,,,,,,,,,,,
Mara,1,slow,1,,,,,,,,,,,,,
Mara,1,running,2,27-02-2026,14:50:40,14:50:55,46,14:51:40,14:51:55,47,,,,"1,1",,"1,1"
Mara,1,running,2,27-02-2026,14:56:45,14:57:00,44,14:57:45,14:58:00,46,,,,"1,1",,"1,1"
Mara,1,running,2,,,,,,,,,,,,,
Mara,1,running,2,,,,,,,,,,,,,
Mara,1,running,2,,,,,,,,,,,,,
Mara,1,walking,2,27-02-2026,14:46:30,14:46:58,45,14:48:15,14:48:41,46,,,,"1,1",,"1,1"
Mara,1,walking,2,27-02-2026,14:53:45,14:54:11,45,14:54:45,14:55:09,47,,,,"1,1",,"1,1"
Mara,1,walking,2,,,,,,,,,,,,,
Mara,1,walking,2,,,,,,,,,,,,,
Mara,1,walking,2,,,,,,,,,,,,,
Mara,1,slow,2,,,,,,,,,,,,,
Mara,1,slow,2,,,,,,,,,,,,,
Mara,1,slow,2,,,,,,,,,,,,,
Mara,1,slow,2,,,,,,,,,,,,,
Mara,1,slow,2,,,,,,,,,,,,,
Napoleon,2,running,1,26-02-2026,14:46:00,14:46:05,12,14:47:45,14:47:50,13,8,10,0,,,
Napoleon,2,running,1,26-02-2026,14:51:30,14:51:35,13,14:52:20,14:52:25,14,8,10,,,,
Napoleon,2,running,1,26-02-2026,14:57:15,14:57:20,12,14:57:50,14:57:57,13,8,2,,,,
Napoleon,2,running,1,27-02-2026,14:17:05,14:17:09,12,14:18:30,14:18:35,14,,,,0,,0
Napoleon,2,running,1,27-02-2026,14:21:35,14:21:40,12,14:23:00,14:23:05,14,,,,0,,0
Napoleon,2,walking,1,26-02-2026,14:42:30,14:42:43,22,14:43:45,14:43:55,23,20,22,1,,,
Napoleon,2,walking,1,26-02-2026,14:49:10,14:49:23,22,14:50:00,14:50:10,24,21,20,1,,,
Napoleon,2,walking,1,26-02-2026,14:53:25,14:53:37,22,14:54:45,14:54:54,23,23,18,1,,,
Napoleon,2,walking,1,27-02-2026,14:14:05,14:14:17,22,14:14:45,14:14:55,24,,,,1,,1
Napoleon,2,walking,1,27-02-2026,14:19:50,14:20:02,22,14:20:25,14:20:34,22,,,,1,,1
Napoleon,2,slow,1,,,,,,,,,,,,,
Napoleon,2,slow,1,,,,,,,,,,,,,
Napoleon,2,slow,1,,,,,,,,,,,,,
Napoleon,2,slow,1,,,,,,,,,,,,,
Napoleon,2,slow,1,,,,,,,,,,,,,
Napoleon,2,running,2,27-02-2026,15:03:15,15:03:26,25,15:04:05,15:04:16,26,,,,"1,1",,"1,1"
Napoleon,2,running,2,27-02-2026,15:08:00,15:08:11,24,15:08:40,15:08:50,26,,,,0,,0
Napoleon,2,running,2,,,,,,,,,,,,,
Napoleon,2,running,2,,,,,,,,,,,,,
Napoleon,2,running,2,,,,,,,,,,,,,
Napoleon,2,walking,2,27-02-2026,15:00:35,15:01:01,44,15:02:00,15:02:19,46,,,,"1,1",,"1,1"
Napoleon,2,walking,2,27-02-2026,15:05:30,15:05:54,44,15:06:25,15:06:42,44,,,,"1,1",,"1,1"
Napoleon,2,walking,2,,,,,,,,,,,,,
Napoleon,2,walking,2,,,,,,,,,,,,,
Napoleon,2,walking,2,,,,,,,,,,,,,
Napoleon,2,slow,2,,,,,,,,,,,,,
Napoleon,2,slow,2,,,,,,,,,,,,,
Napoleon,2,slow,2,,,,,,,,,,,,,
Napoleon,2,slow,2,,,,,,,,,,,,,
Napoleon,2,slow,2,,,,,,,,,,,,,
Yasmin,3,running,1,26-02-2026,15:04:30,15:04:37,22,15:05:25,15:05:33,22,10,12,1,,,
